"department","salary_grade","ticket_res_time_hours","survey_number_of_questions","survey_response_scale","responded_to_survey"
"B","grade 3",3.21,"3 questions","likert",TRUE
"B","grade 2",23.35,"3 questions","likert",TRUE
"C","grade 3",32.98,"1 question","binary",TRUE
"B","grade 3",1.14,"1 question","binary",FALSE
"A","grade 3",42.21,"3 questions","binary",FALSE
"A","grade 3",16.2,"3 questions","likert",FALSE
"A","grade 3",64.96,"1 question","binary",TRUE
"B","grade 2",1.52,"3 questions","likert",TRUE
"B","grade 2",48.45,"5 questions","likert",FALSE
"C","grade 3",17.18,"3 questions","binary",TRUE
"A","grade 3",71.57,"5 questions","binary",FALSE
"B","grade 3",0.84,"3 questions","binary",FALSE
"A","grade 3",3.52,"1 question","likert",FALSE
"B","grade 3",0.63,"1 question","binary",TRUE
"A","grade 3",4.9,"5 questions","likert",FALSE
"C","grade 2",8.42,"3 questions","likert",FALSE
"C","grade 1",13.73,"3 questions","binary",TRUE
"C","grade 2",0.95,"1 question","binary",TRUE
"B","grade 3",44.62,"3 questions","likert",TRUE
"C","grade 2",15.39,"3 questions","likert",FALSE
"B","grade 1",71.42,"5 questions","binary",TRUE
"B","grade 2",15.64,"1 question","binary",TRUE
"C","grade 3",3.7,"5 questions","binary",FALSE
"C","grade 3",1.83,"3 questions","binary",FALSE
"C","grade 3",21.84,"5 questions","likert",FALSE
"C","grade 2",0.57,"5 questions","binary",FALSE
"B","grade 3",12.07,"1 question","binary",TRUE
"A","grade 3",17.3,"3 questions","binary",FALSE
"C","grade 3",73.32,"1 question","binary",FALSE
"B","grade 1",60.27,"3 questions","likert",TRUE
"C","grade 3",87.42,"3 questions","binary",FALSE
"B","grade 2",13.58,"3 questions","likert",TRUE
"C","grade 3",55.54,"5 questions","likert",TRUE
"C","grade 2",47.82,"3 questions","likert",TRUE
"A","grade 3",5.28,"1 question","likert",FALSE
"C","grade 3",14.64,"3 questions","likert",FALSE
"C","grade 3",1.02,"5 questions","binary",FALSE
"C","grade 3",10.98,"5 questions","likert",TRUE
"A","grade 3",17.2,"3 questions","binary",FALSE
"B","grade 3",19.05,"1 question","binary",TRUE
"B","grade 3",1.61,"1 question","likert",FALSE
"C","grade 3",20.83,"3 questions","likert",FALSE
"A","grade 3",30.72,"1 question","binary",TRUE
"B","grade 3",13.96,"1 question","binary",TRUE
"B","grade 3",38.89,"1 question","binary",FALSE
"B","grade 2",18.93,"1 question","likert",TRUE
"B","grade 3",2.75,"3 questions","likert",TRUE
"C","grade 3",16.42,"3 questions","likert",TRUE
"C","grade 3",2.38,"1 question","binary",FALSE
"B","grade 2",5.54,"1 question","likert",TRUE
"A","grade 3",21.2,"5 questions","likert",FALSE
"A","grade 3",65.52,"5 questions","likert",FALSE
"B","grade 2",18.99,"3 questions","likert",FALSE
"C","grade 3",4.11,"3 questions","binary",TRUE
"B","grade 3",26.49,"3 questions","likert",FALSE
"C","grade 2",42.9,"5 questions","binary",TRUE
"A","grade 3",0.92,"3 questions","likert",FALSE
"B","grade 3",25.99,"5 questions","likert",TRUE
"C","grade 3",5.85,"1 question","binary",TRUE
"B","grade 3",82.42,"3 questions","binary",TRUE
"B","grade 3",51.97,"1 question","binary",TRUE
"C","grade 2",10.81,"3 questions","likert",FALSE
"B","grade 3",15.45,"5 questions","likert",FALSE
"C","grade 3",0.69,"5 questions","binary",TRUE
"C","grade 3",40.6,"5 questions","binary",FALSE
"A","grade 3",42.28,"1 question","likert",FALSE
"A","grade 2",21.1,"3 questions","likert",FALSE
"C","grade 3",26.98,"5 questions","binary",FALSE
"A","grade 2",7.94,"5 questions","binary",FALSE
"B","grade 2",65.31,"1 question","binary",TRUE
"C","grade 3",0.3,"1 question","likert",TRUE
"C","grade 2",3.15,"3 questions","binary",FALSE
"A","grade 1",10.11,"5 questions","likert",FALSE
"B","grade 3",102.55,"5 questions","likert",FALSE
"B","grade 3",0.25,"5 questions","binary",FALSE
"B","grade 3",0.52,"1 question","likert",TRUE
"C","grade 2",38.44,"3 questions","binary",TRUE
"C","grade 3",8.85,"3 questions","likert",TRUE
"A","grade 3",90.11,"5 questions","binary",FALSE
"C","grade 3",13.75,"3 questions","binary",FALSE
"C","grade 3",59.13,"5 questions","binary",FALSE
"B","grade 3",30.77,"5 questions","likert",FALSE
"B","grade 3",2.42,"3 questions","likert",TRUE
"C","grade 2",25.21,"5 questions","binary",FALSE
"C","grade 3",5.32,"3 questions","likert",FALSE
"A","grade 3",3.24,"5 questions","likert",FALSE
"C","grade 3",14.78,"5 questions","likert",FALSE
"B","grade 2",0.92,"1 question","binary",TRUE
"B","grade 3",0.63,"5 questions","likert",FALSE
"A","grade 3",0.45,"3 questions","binary",FALSE
"C","grade 3",36.87,"3 questions","likert",FALSE
"C","grade 3",36.85,"1 question","likert",FALSE
"B","grade 2",37.93,"3 questions","binary",FALSE
"B","grade 3",6.81,"3 questions","likert",FALSE
"A","grade 3",14.01,"1 question","likert",TRUE
"B","grade 3",21.18,"3 questions","binary",FALSE
"A","grade 3",3.18,"3 questions","likert",FALSE
"A","grade 3",21.41,"3 questions","likert",FALSE
"A","grade 3",1.58,"3 questions","likert",FALSE
"B","grade 3",33.54,"5 questions","likert",FALSE
"B","grade 3",47.67,"5 questions","binary",TRUE
"A","grade 3",32.34,"1 question","likert",TRUE
"C","grade 3",5.52,"1 question","likert",TRUE
"B","grade 3",3.69,"5 questions","likert",FALSE
"A","grade 2",15.07,"3 questions","likert",TRUE
"A","grade 3",4.42,"3 questions","likert",TRUE
"C","grade 1",12.95,"5 questions","likert",TRUE
"A","grade 3",13.9,"3 questions","likert",FALSE
"C","grade 3",67.71,"1 question","binary",FALSE
"A","grade 3",12.62,"5 questions","binary",FALSE
"C","grade 3",15.24,"3 questions","binary",FALSE
"A","grade 3",12.72,"1 question","binary",FALSE
"B","grade 3",4.08,"5 questions","binary",FALSE
"B","grade 3",36.31,"5 questions","binary",FALSE
"A","grade 1",13.85,"3 questions","binary",TRUE
"C","grade 2",11.82,"1 question","binary",FALSE
"C","grade 3",48.22,"3 questions","binary",TRUE
"C","grade 3",43.78,"1 question","likert",TRUE
"C","grade 3",17.69,"3 questions","likert",TRUE
"B","grade 3",1.09,"3 questions","likert",TRUE
"C","grade 3",13.72,"5 questions","binary",TRUE
"C","grade 3",66.36,"3 questions","binary",FALSE
"A","grade 3",23.42,"3 questions","binary",TRUE
"C","grade 3",46.2,"3 questions","binary",TRUE
"C","grade 3",37.76,"3 questions","likert",TRUE
"B","grade 1",0.31,"3 questions","binary",TRUE
"C","grade 3",16.28,"1 question","likert",TRUE
"C","grade 3",4.99,"1 question","binary",FALSE
"B","grade 2",15.38,"1 question","likert",FALSE
"C","grade 3",45.78,"5 questions","binary",TRUE
"C","grade 2",42.63,"3 questions","likert",FALSE
"A","grade 3",14.54,"3 questions","binary",FALSE
"B","grade 3",2.3,"3 questions","likert",FALSE
"B","grade 3",14.65,"3 questions","likert",TRUE
"C","grade 3",41.76,"1 question","binary",TRUE
"B","grade 3",1.45,"1 question","likert",FALSE
"C","grade 3",23.77,"3 questions","binary",FALSE
"B","grade 3",33.07,"3 questions","binary",FALSE
"B","grade 2",13.03,"1 question","binary",TRUE
"C","grade 3",17.54,"3 questions","binary",FALSE
"A","grade 2",0.99,"5 questions","binary",FALSE
"C","grade 1",13.51,"1 question","likert",TRUE
"B","grade 3",4.13,"5 questions","binary",TRUE
"B","grade 3",17.68,"3 questions","binary",FALSE
"B","grade 3",21.91,"5 questions","binary",TRUE
"B","grade 3",22.4,"3 questions","binary",FALSE
"C","grade 3",36.56,"3 questions","binary",FALSE
"C","grade 2",35.5,"3 questions","likert",FALSE
"C","grade 3",1.22,"5 questions","binary",FALSE
"A","grade 2",2.61,"5 questions","binary",TRUE
"C","grade 3",5.87,"5 questions","likert",FALSE
"A","grade 2",75.32,"5 questions","likert",TRUE
"A","grade 3",16.4,"3 questions","binary",TRUE
"B","grade 3",45.36,"5 questions","likert",FALSE
"A","grade 3",11.03,"1 question","likert",TRUE
"C","grade 2",40.84,"1 question","binary",TRUE
"C","grade 3",6.91,"5 questions","likert",FALSE
"C","grade 3",77.97,"3 questions","likert",TRUE
"C","grade 3",12.13,"3 questions","likert",FALSE
"B","grade 1",50.77,"1 question","binary",TRUE
"C","grade 3",2.68,"5 questions","binary",FALSE
"C","grade 2",59.7,"5 questions","binary",TRUE
"C","grade 2",59.25,"5 questions","binary",TRUE
"B","grade 3",2.85,"5 questions","binary",FALSE
"B","grade 3",2.81,"5 questions","binary",FALSE
"C","grade 3",26.98,"3 questions","likert",TRUE
"C","grade 2",16.96,"5 questions","likert",TRUE
"C","grade 3",17.53,"5 questions","likert",FALSE
"C","grade 3",18.49,"1 question","likert",TRUE
"B","grade 3",40.53,"1 question","binary",TRUE
"A","grade 3",16.73,"3 questions","likert",FALSE
"C","grade 2",3,"5 questions","binary",TRUE
"C","grade 3",18.09,"1 question","likert",FALSE
"A","grade 3",2.66,"5 questions","binary",FALSE
"B","grade 3",1.41,"5 questions","binary",FALSE
"B","grade 3",49.99,"5 questions","binary",FALSE
"C","grade 3",63.35,"5 questions","likert",FALSE
"A","grade 3",31.66,"1 question","binary",FALSE
"C","grade 3",25.09,"3 questions","binary",FALSE
"A","grade 3",38.09,"5 questions","binary",FALSE
"C","grade 1",56.86,"3 questions","likert",TRUE
"B","grade 3",2.48,"3 questions","likert",TRUE
"B","grade 3",8.78,"1 question","binary",TRUE
"C","grade 2",7.27,"5 questions","likert",FALSE
"C","grade 3",3.08,"3 questions","binary",TRUE
"C","grade 3",2.63,"1 question","binary",FALSE
"B","grade 1",35.6,"5 questions","likert",FALSE
"A","grade 2",2.06,"5 questions","binary",FALSE
"C","grade 3",29.7,"5 questions","likert",FALSE
"C","grade 3",58.74,"5 questions","binary",FALSE
"C","grade 3",26.72,"5 questions","likert",TRUE
"A","grade 2",41.21,"5 questions","likert",FALSE
"C","grade 3",55.07,"3 questions","likert",FALSE
"C","grade 3",54.93,"1 question","binary",TRUE
"A","grade 3",16.36,"5 questions","likert",FALSE
"A","grade 3",16.65,"5 questions","binary",TRUE
"B","grade 3",18.24,"1 question","binary",FALSE
"C","grade 2",24.46,"1 question","binary",TRUE
"C","grade 3",88.96,"3 questions","binary",FALSE
"C","grade 3",42.86,"3 questions","binary",TRUE
"C","grade 3",49.25,"5 questions","binary",FALSE
"C","grade 3",22.12,"3 questions","binary",FALSE
"B","grade 3",8.83,"5 questions","likert",TRUE
"B","grade 3",14.92,"1 question","binary",TRUE
"B","grade 3",5.02,"5 questions","likert",FALSE
"A","grade 2",18.78,"3 questions","likert",FALSE
"B","grade 2",0.25,"5 questions","binary",TRUE
"C","grade 3",23.86,"3 questions","binary",TRUE
"A","grade 3",2.39,"5 questions","binary",FALSE
"C","grade 3",12,"5 questions","binary",TRUE
"A","grade 2",58.21,"1 question","binary",TRUE
"C","grade 3",24.97,"5 questions","binary",FALSE
"A","grade 3",49.95,"3 questions","likert",FALSE
"C","grade 3",2.89,"3 questions","likert",TRUE
"B","grade 2",32.88,"3 questions","likert",FALSE
"A","grade 3",3.85,"5 questions","binary",FALSE
"C","grade 3",71.63,"5 questions","likert",FALSE
"C","grade 3",11.84,"1 question","binary",TRUE
"B","grade 3",17.45,"1 question","likert",FALSE
"C","grade 2",0.76,"5 questions","likert",FALSE
"C","grade 3",19.77,"5 questions","binary",FALSE
"C","grade 3",25.3,"3 questions","binary",TRUE
"C","grade 2",9.05,"3 questions","likert",TRUE
"C","grade 2",21.85,"5 questions","likert",FALSE
"C","grade 3",18.27,"1 question","likert",FALSE
"C","grade 3",11.4,"1 question","likert",FALSE
"A","grade 3",39.59,"3 questions","likert",TRUE
"C","grade 3",16.96,"3 questions","binary",TRUE
"C","grade 3",28.85,"3 questions","likert",TRUE
"B","grade 3",16.93,"5 questions","binary",FALSE
"C","grade 3",24.54,"5 questions","likert",TRUE
"B","grade 3",23.53,"1 question","binary",TRUE
"B","grade 2",41.45,"5 questions","likert",TRUE
"B","grade 2",9.82,"1 question","binary",FALSE
"A","grade 3",1.49,"1 question","likert",TRUE
"B","grade 3",29.72,"5 questions","binary",FALSE
"B","grade 2",15.82,"1 question","likert",TRUE
"A","grade 3",25.77,"3 questions","binary",FALSE
"B","grade 3",17.45,"5 questions","likert",TRUE
"C","grade 3",15.02,"3 questions","binary",TRUE
"B","grade 3",25.8,"1 question","binary",TRUE
"C","grade 3",29.65,"1 question","binary",FALSE
"A","grade 3",11.83,"1 question","likert",TRUE
"C","grade 3",23,"1 question","binary",TRUE
"B","grade 3",1.43,"3 questions","likert",FALSE
"B","grade 3",36.13,"5 questions","binary",FALSE
"C","grade 3",3.46,"5 questions","likert",TRUE
"C","grade 3",0.97,"5 questions","likert",FALSE
"A","grade 3",59.88,"1 question","binary",FALSE
"A","grade 3",50.15,"5 questions","binary",TRUE
"C","grade 3",19.46,"3 questions","binary",FALSE
"A","grade 3",12.2,"5 questions","binary",TRUE
"A","grade 3",18.33,"1 question","binary",TRUE
"C","grade 3",15.15,"5 questions","likert",FALSE
"B","grade 2",1.04,"1 question","likert",FALSE
"B","grade 3",59.99,"5 questions","binary",FALSE
"C","grade 3",10.53,"1 question","likert",FALSE
"B","grade 2",8.42,"3 questions","likert",TRUE
"B","grade 3",2.84,"1 question","likert",FALSE
"C","grade 2",3.85,"1 question","likert",FALSE
"B","grade 3",47.25,"3 questions","likert",FALSE
"B","grade 2",2.31,"5 questions","binary",FALSE
"B","grade 3",44.28,"5 questions","binary",FALSE
"A","grade 3",100.64,"3 questions","binary",FALSE
"C","grade 1",4.52,"3 questions","binary",FALSE
"B","grade 3",11.93,"1 question","likert",TRUE
"B","grade 1",22.87,"1 question","likert",TRUE
"C","grade 3",27.25,"5 questions","likert",FALSE
"C","grade 2",32.64,"1 question","likert",TRUE
"C","grade 3",13.65,"1 question","binary",FALSE
"B","grade 3",18.04,"5 questions","binary",FALSE
"B","grade 3",19.79,"3 questions","likert",TRUE
"B","grade 3",25.78,"3 questions","binary",TRUE
"B","grade 3",0.9,"5 questions","likert",TRUE
"B","grade 3",14.78,"1 question","likert",FALSE
"C","grade 3",2.43,"3 questions","likert",FALSE
"C","grade 3",16.18,"1 question","binary",FALSE
"C","grade 3",47.48,"3 questions","likert",FALSE
"A","grade 3",13.27,"3 questions","binary",TRUE
"A","grade 3",34.92,"3 questions","binary",FALSE
"A","grade 3",5.28,"5 questions","likert",FALSE
"C","grade 2",60.47,"1 question","likert",FALSE
"A","grade 2",56.3,"3 questions","likert",FALSE
"B","grade 3",20.72,"5 questions","likert",TRUE
"C","grade 3",0.03,"1 question","likert",FALSE
"C","grade 3",10.08,"5 questions","binary",TRUE
"B","grade 3",40.47,"3 questions","binary",FALSE
"B","grade 2",32.02,"3 questions","likert",FALSE
"B","grade 3",19.82,"1 question","binary",TRUE
"C","grade 1",30.97,"5 questions","likert",FALSE
"C","grade 3",41.37,"5 questions","likert",FALSE
"B","grade 2",26.08,"5 questions","binary",FALSE
"C","grade 3",71.3,"1 question","binary",TRUE
"B","grade 3",100.95,"5 questions","likert",FALSE
"C","grade 3",17,"5 questions","likert",FALSE
"C","grade 3",87.35,"3 questions","likert",TRUE
"B","grade 2",0.72,"3 questions","binary",TRUE
"A","grade 2",59.8,"3 questions","likert",FALSE
"C","grade 3",14.17,"3 questions","binary",FALSE
"C","grade 2",12.36,"3 questions","likert",FALSE
"C","grade 3",49.59,"3 questions","binary",TRUE
"C","grade 3",3.93,"1 question","binary",FALSE
"B","grade 3",4.01,"3 questions","likert",FALSE
"B","grade 3",18.26,"3 questions","binary",FALSE
"A","grade 1",24.59,"1 question","likert",TRUE
"C","grade 3",25.41,"5 questions","binary",FALSE
"C","grade 3",1.45,"3 questions","binary",TRUE
"C","grade 1",10.08,"5 questions","likert",FALSE
"C","grade 3",0.21,"5 questions","binary",TRUE
"B","grade 3",65.49,"3 questions","likert",FALSE
"C","grade 2",42.35,"3 questions","binary",FALSE
"C","grade 3",23.13,"3 questions","likert",FALSE
"A","grade 2",2.97,"5 questions","likert",FALSE
"A","grade 3",54.75,"3 questions","binary",FALSE
"B","grade 2",1.89,"3 questions","binary",FALSE
"B","grade 3",59.96,"3 questions","likert",FALSE
"C","grade 3",64.28,"1 question","likert",FALSE
"C","grade 3",21.27,"1 question","likert",TRUE
"B","grade 3",5.69,"1 question","likert",FALSE
"C","grade 2",0.98,"3 questions","likert",FALSE
"B","grade 3",50.57,"1 question","likert",FALSE
"C","grade 1",28.6,"1 question","binary",TRUE
"B","grade 3",0.2,"3 questions","binary",FALSE
"B","grade 2",46.65,"3 questions","binary",FALSE
"B","grade 3",3.85,"1 question","binary",TRUE
"B","grade 3",14.07,"3 questions","likert",FALSE
"C","grade 3",17.03,"1 question","binary",TRUE
"C","grade 3",9.6,"3 questions","binary",TRUE
"B","grade 3",4.46,"1 question","likert",TRUE
"C","grade 2",7.34,"5 questions","likert",FALSE
"C","grade 3",23.63,"3 questions","binary",TRUE
"C","grade 3",16.95,"3 questions","likert",FALSE
"C","grade 3",21.7,"1 question","likert",TRUE
"C","grade 3",7.52,"3 questions","binary",TRUE
